produkt_id,produkt,wariant_id,pozycja,szerokosc_od_mm,szerokosc_do_mm,wysokosc_od_mm,wysokosc_do_mm,minimalna_glebokosc_mm,wykonczenie,cena_brutto_pln,zrodlo_selly
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,593,19,350,410,831,1050,,Aluminium decor,522,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,594,20,350,410,831,1050,,Biały RAL 9010,522,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,595,21,411,495,300,420,,Aluminium decor,385,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,596,22,411,495,300,420,,Biały RAL 9010,385,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,597,23,411,495,421,500,,Aluminium decor,413,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,598,24,411,495,421,500,,Biały RAL 9010,413,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,599,25,411,495,501,625,,Aluminium decor,442,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,600,26,411,495,501,625,,Biały RAL 9010,442,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,601,27,411,495,626,830,,Aluminium decor,510,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,602,28,411,495,626,830,,Biały RAL 9010,510,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
